name,Buy Price,Unlock Time,Buy Market,Sell Price,Sell Market,Profit,Relative Profit,Time Efficiency
★ Gut Knife | Damascus Steel (Well-Worn),85.717,5,Skinout,955.5,Buff,869.783,10.147147007011444,923.1224874921711
P250 | Undertow (Field-Tested),27.691,0,Skinout,299.17875000000004,Buff,271.48775000000006,9.804187281066053,920.4513243267195
Sticker | NertZ (Holo) | Paris 2023,0.26,0,Skinport,2.808,Buff,2.548,9.8,920.0582077641646
StatTrak™ SG 553 | Aloha (Battle-Scarred),0.063,8,Skinout,0.71175,Buff,0.6487499999999999,10.297619047619046,919.6273351092237
Sticker | shox (Foil) | Cologne 2016,43.3,0,Skinport,467.025,Buff,423.72499999999997,9.78579676674365,918.7247586484202
Sticker | INS (Holo) | Paris 2023,0.65,0,Skinout,7.01025,Buff,6.36025,9.785,918.649955405342
Patch | Metal Supreme Master,1.3,0,Skinport,14.0205,Buff,12.7205,9.785,918.649955405342
Sticker | Toxic,0.249,6,Skinout,2.77875,Buff,2.52975,10.159638554216867,918.5348625509114
StatTrak™ USP-S | Overgrowth (Well-Worn),34.574,8,Skinout,390.0,Buff,355.426,10.280152715913692,918.0675069580707
StatTrak™ G3SG1 | Hunter (Well-Worn),0.077,2,Skinout,0.8385,Buff,0.7615000000000001,9.889610389610391,916.8592291784462
Recoil Case,0.125,0,Skinout,1.3455,Buff,1.2205,9.764,916.6784021029902
Sticker | Kyojin (Holo) | Stockholm 2021,0.34,3,Skinout,3.71475,Buff,3.37475,9.925735294117647,914.392933589834
Sticker | degster (Holo) | Paris 2023,0.378,2,Skinout,4.10475,Buff,3.72675,9.859126984126984,914.0331328457115
StatTrak™ Five-SeveN | Monkey Business (Battle-Scarred),2.764,0,Skinout,29.64975,Buff,26.88575,9.727116497829234,913.2156501740819
Sticker | G2 | 2020 RMR,0.02,0,Skinport,0.2145,Buff,0.1945,9.725,913.0169459700511
Sticker | Dragon's Keep,0.03,0,Skinport,0.32175,Buff,0.29174999999999995,9.725,913.0169459700511
Souvenir XM1014 | Urban Perforated (Field-Tested),0.04,0,Skinport,0.429,Buff,0.389,9.725,913.0169459700511
Sticker | Team Liquid | Stockholm 2021,0.02,0,Skinport,0.2145,Buff,0.1945,9.725,913.0169459700511
