Name,Buy Market,Buy Price,Sell Market,Sell Price,Relative Profit,Profit
Tec-9 | Avalanche (Well-Worn),Skinout,0.354,Buff,0.42047292000000003,0.18777661016949165,0.06647292000000005
Tec-9 | Avalanche (Well-Worn),Skinout,0.354,Buff,0.42047292000000003,0.18777661016949165,0.06647292000000005
Sticker | roeJ (Holo) | Paris 2023,Skinout,1.859,Buff,2.2071336,0.18726928456159234,0.34813360000000015
Sticker | roeJ (Holo) | Paris 2023,Skinout,1.859,Buff,2.2071336,0.18726928456159234,0.34813360000000015
Sticker | roeJ (Holo) | Paris 2023,Skinout,1.859,Buff,2.2071336,0.18726928456159234,0.34813360000000015
Sticker | roeJ (Holo) | Paris 2023,Skinout,1.859,Buff,2.2071336,0.18726928456159234,0.34813360000000015
Sticker | roeJ (Holo) | Paris 2023,Skinout,1.859,Buff,2.2071336,0.18726928456159234,0.34813360000000015
Sticker | roeJ (Holo) | Paris 2023,Skinout,1.859,Buff,2.2071336,0.18726928456159234,0.34813360000000015
Sticker | roeJ (Holo) | Paris 2023,Skinout,1.859,Buff,2.2071336,0.18726928456159234,0.34813360000000015
Sticker | roeJ (Holo) | Paris 2023,Skinout,1.859,Buff,2.2071336,0.18726928456159234,0.34813360000000015
StatTrak™ Sawed-Off | Origami (Minimal Wear),Skinout,0.286,Buff,0.33945156000000004,0.18689356643356667,0.053451560000000065
SG 553 | Pulse (Battle-Scarred),Skinout,1.371,Buff,1.6246179600000001,0.18498757111597386,0.25361796000000014
StatTrak™ MP9 | Food Chain (Well-Worn),Skinout,1.881,Buff,2.2280874,0.18452280701754395,0.34708740000000016
Souvenir MP9 | Music Box (Minimal Wear),Skinout,0.342,Buff,0.40510680000000004,0.1845228070175439,0.06310680000000002
StatTrak™ MAC-10 | Sakkaku (Battle-Scarred),Skinout,0.493,Buff,0.58391256,0.18440681541582157,0.09091256000000003
G3SG1 | High Seas (Field-Tested),Skinout,0.473,Buff,0.5601649200000001,0.18428101479915454,0.08716492000000009
StatTrak™ MAC-10 | Allure (Field-Tested),Skinout,0.394,Buff,0.46657128000000003,0.18419106598984775,0.07257128000000002
P90 | Grim (Factory New),Skinout,0.453,Buff,0.53641728,0.18414410596026487,0.08341727999999998
StatTrak™ Desert Eagle | Naga (Well-Worn),Skinout,2.297,Buff,2.71980324,0.18406758380496294,0.4228032399999999
CZ75-Auto | Eco (Battle-Scarred),Skinout,0.374,Buff,0.44282364,0.18402042780748668,0.06882364000000002
Galil AR | Rocket Pop (Battle-Scarred),Skinout,0.177,Buff,0.209538,0.18383050847457635,0.03253800000000001
USP-S | Ticket to Hell (Field-Tested),Skinout,0.177,Buff,0.209538,0.18383050847457635,0.03253800000000001
USP-S | Ticket to Hell (Field-Tested),Skinout,0.177,Buff,0.209538,0.18383050847457635,0.03253800000000001
USP-S | Ticket to Hell (Field-Tested),Skinout,0.177,Buff,0.209538,0.18383050847457635,0.03253800000000001
USP-S | Ticket to Hell (Field-Tested),Skinout,0.177,Buff,0.209538,0.18383050847457635,0.03253800000000001
USP-S | Ticket to Hell (Field-Tested),Skinout,0.177,Buff,0.209538,0.18383050847457635,0.03253800000000001
USP-S | Ticket to Hell (Field-Tested),Skinout,0.177,Buff,0.209538,0.18383050847457635,0.03253800000000001
SG 553 | Tiger Moth (Well-Worn),Skinout,0.327,Buff,0.38694684,0.18332366972477063,0.05994684
PP-Bizon | Anolis (Minimal Wear),Skinout,0.201,Buff,0.2374764,0.1814746268656716,0.03647639999999999
